file_name,sweep,baseline,pre,post
E21123101_0003,0,0.0,0.0,8.0
E21123101_0003,1,0.0,0.0,8.0
E21123101_0003,2,0.0,0.0,9.0
E21123101_0003,3,0.0,0.0,8.0
E21123101_0003,4,0.0,0.0,8.0
E21123101_0003,5,0.0,0.0,10.0
E21123101_0004,0,0.0,0.0,10.0
E21123101_0004,1,0.0,0.0,8.0
E21123101_0004,2,0.0,0.0,7.0
E21123101_0004,3,0.0,0.0,8.0
E21123102_0003,0,0.0,0.0,0.0
E21123102_0003,1,0.0,0.0,0.0
E21123102_0003,2,0.0,0.0,0.0
E21123102_0003,5,0.0,0.0,1.0
E21123102_0003,6,0.0,0.0,0.0
E21123102_0003,7,3.581796690307329,1.0,1.0
E21123102_0004,0,0.0,0.0,1.0
E21123102_0004,1,0.0,0.0,2.0
E21123102_0004,2,0.0,0.0,2.0
E21123102_0004,3,0.0,0.0,1.0
E21123102_0004,4,0.0,0.0,2.0
E21123102_0004,5,8.954491725768321,1.0,1.0
E21123102_0005,0,5.372695035460993,1.0,1.0
E21123102_0005,1,0.0,0.0,0.0
E21123102_0005,2,0.0,0.0,0.0
E21123102_0005,3,1.7908983451536644,1.0,0.0
E21123102_0005,4,0.0,0.0,0.0
E21123102_0005,5,0.0,0.0,0.0
E21123102_0005,6,0.0,0.0,0.0
E21123102_0006,0,0.0,0.0,3.0
E21123102_0006,1,0.0,0.0,1.0
E21123102_0006,2,0.0,0.0,1.0
E21123102_0006,3,0.0,0.0,1.0
E21123104_0001,0,3.581796690307329,1.0,2.0
E21123104_0001,1,3.581796690307329,0.0,2.0
E21123104_0002,0,1.7908983451536644,1.0,1.0
E21123104_0002,1,3.581796690307329,1.0,1.0
E21123104_0002,2,5.372695035460993,0.0,1.0
E21123104_0002,3,1.7908983451536644,1.0,1.0
E21123104_0002,4,1.7908983451536644,0.0,1.0
E21123104_0002,5,1.7908983451536644,0.0,0.0
E21123104_0002,6,0.0,0.0,0.0
E21123104_0002,7,1.7908983451536644,1.0,1.0
E21123104_0002,8,0.0,0.0,1.0
E21123104_0003,0,0.0,0.0,0.0
E21123104_0003,1,0.0,0.0,1.0
E21123104_0003,2,3.581796690307329,1.0,0.0
E21123104_0003,3,0.0,0.0,0.0
E21123104_0003,4,0.0,0.0,1.0
E21123104_0003,5,1.7908983451536644,0.0,0.0
E21123104_0003,6,0.0,0.0,0.0
E21123104_0003,7,1.7908983451536644,0.0,1.0
E21123104_0003,8,3.581796690307329,1.0,0.0
E21123104_0003,9,1.7908983451536644,0.0,0.0
E21123104_0004,0,0.0,0.0,1.0
E21123104_0004,1,0.0,0.0,0.0
E21123104_0004,2,0.0,0.0,1.0
E21123104_0004,3,0.0,0.0,1.0
E21123104_0004,4,0.0,0.0,1.0
E21123104_0004,5,0.0,0.0,1.0
E21123104_0004,6,0.0,0.0,1.0
E21123104_0005,0,5.372695035460993,1.0,0.0
E21123104_0005,1,1.7908983451536644,0.0,1.0
E21123104_0005,2,3.581796690307329,1.0,1.0
E21123104_0005,3,3.581796690307329,1.0,1.0
E21123104_0005,4,5.372695035460993,1.0,0.0
E22010301_0001,0,5.372695035460993,1.0,1.0
E22010301_0001,1,3.581796690307329,1.0,1.0
E22010301_0001,2,5.372695035460993,1.0,0.0
E22010301_0001,3,5.372695035460993,1.0,0.0
E22010301_0001,4,1.7908983451536644,0.0,1.0
E22010301_0001,5,3.581796690307329,1.0,0.0
E22010301_0001,6,1.7908983451536644,1.0,1.0
E22010301_0002,0,0.0,0.0,2.0
E22010301_0002,1,0.0,0.0,1.0
E22010301_0002,2,0.0,0.0,2.0
E22010301_0002,3,0.0,0.0,1.0
E22010301_0002,4,3.581796690307329,0.0,1.0
E22010301_0002,5,5.372695035460993,1.0,2.0
E22010301_0002,6,5.372695035460993,0.0,1.0
E22010301_0004,0,0.0,0.0,0.0
E22010301_0004,1,1.7908983451536644,0.0,0.0
E22010301_0004,2,1.7908983451536644,1.0,0.0
E22010301_0004,3,0.0,0.0,0.0
E22010301_0004,4,1.7908983451536644,1.0,0.0
E22010301_0004,5,1.7908983451536644,1.0,1.0
E22010301_0004,6,0.0,0.0,0.0
E22010301_0004,7,1.7908983451536644,0.0,0.0
E22010301_0005,0,0.0,0.0,0.0
E22010301_0005,1,1.7908983451536644,0.0,0.0
E22010301_0005,2,0.0,0.0,0.0
E22010301_0005,3,0.0,0.0,0.0
E22010301_0005,4,3.581796690307329,0.0,2.0
E22010302_0001,0,7.163593380614658,1.0,2.0
E22010302_0001,1,1.7908983451536644,0.0,2.0
E22010302_0001,2,7.163593380614658,2.0,3.0
E22010302_0001,3,8.954491725768321,2.0,1.0
E22010302_0002,0,0.0,0.0,0.0
E22010302_0002,1,0.0,0.0,0.0
E22010302_0002,2,3.581796690307329,1.0,1.0
E22010302_0002,3,3.581796690307329,1.0,0.0
E22010302_0002,4,0.0,0.0,0.0
E22010302_0007,0,0.0,0.0,1.0
E22010302_0007,1,3.581796690307329,0.0,1.0
E22010302_0007,2,1.7908983451536644,1.0,1.0
E22010302_0007,3,3.581796690307329,0.0,0.0
E22010302_0007,4,0.0,0.0,1.0
E22010302_0007,5,1.7908983451536644,0.0,0.0
E22010302_0007,6,1.7908983451536644,0.0,1.0
E22010302_0007,7,8.954491725768321,1.0,0.0
