file_name,cell,file_num,intensity
H21060903_0005.abf,H21060903,5,0.106
H21060903_0006.abf,H21060903,6,0.48
H21060903_0007.abf,H21060903,7,0.135
H21060903_0008.abf,H21060903,8,1.3
H21060904_0002.abf,H21060904,2,0.967
H21060904_0003.abf,H21060904,3,0.23
H21060904_0004.abf,H21060904,4,0.135
H21060904_0005.abf,H21060904,5,0.012
H21060904_0006.abf,H21060904,6,0.106
H21060904_0007.abf,H21060904,7,0.48
H21061001_0001.abf,H21061001,1,0.967
H21061001_0002.abf,H21061001,2,1.2
H21061001_0003.abf,H21061001,3,2.68
H21061001_0004.abf,H21061001,4,5.6
H21061001_0005.abf,H21061001,5,0.967
H21061001_0007.abf,H21061001,7,1.2
H21061001_0008.abf,H21061001,8,2.68
H21061001_0009.abf,H21061001,9,0.106
H21061001_0011.abf,H21061001,11,0.48
H21061002_0001.abf,H21061002,1,0.967
H21061002_0002.abf,H21061002,2,0.106
H21061002_0003.abf,H21061002,3,0.106
H21061002_0004.abf,H21061002,4,0.48
H21061002_0005.abf,H21061002,5,0.48
H21061002_0006.abf,H21061002,6,0.967
H21061002_0007.abf,H21061002,7,1.74
H21061002_0008.abf,H21061002,8,1.74
H21061003_0013.abf,H21061003,13,0.967
H21061003_0014.abf,H21061003,14,0.23
H21061003_0015.abf,H21061003,15,0.012
H21061003_0016.abf,H21061003,16,0.106
H21061003_0017.abf,H21061003,17,0.0787
H21061003_0018.abf,H21061003,18,0.0787
H21061003_0019.abf,H21061003,19,0.0787
H21061003_0020.abf,H21061003,20,0.106
H21061004_0010.abf,H21061004,10,0.012
H21061004_0011.abf,H21061004,11,0.23
H21061005_0003.abf,H21061005,3,0.967
H21061005_0004.abf,H21061005,4,1.74
H21061005_0005.abf,H21061005,5,5.6
H21061005_0006.abf,H21061005,6,11.3
H21061005_0007.abf,H21061005,7,2.68
H21061005_0008.abf,H21061005,8,1.3
H21061005_0010.abf,H21061005,10,0.967
H21061005_0011.abf,H21061005,11,0.48
H21061005_0012.abf,H21061005,12,0.23
H21061005_0013.abf,H21061005,13,0.106
H21061006_0001.abf,H21061006,1,0.967
H21061006_0002.abf,H21061006,2,0.23
H21061006_0003.abf,H21061006,3,0.106
H21061006_0004.abf,H21061006,4,0.106
H21061006_0007.abf,H21061006,7,0.0787
H21061006_0008.abf,H21061006,8,0.0146
H21061006_0009.abf,H21061006,9,0.0146
H21061006_0010.abf,H21061006,10,0.0086
H21061006_0011.abf,H21061006,11,0.0086
H21061006_0012.abf,H21061006,12,0.0787
H21061006_0014.abf,H21061006,14,0.0787
H21061006_0015.abf,H21061006,15,0.083
H21061006_0016.abf,H21061006,16,0.083
